height,weight,label
197, 72, normal
160, 110, fat
161, 97, fat
158, 119, fat
167, 109, fat
190, 95, fat
178, 63, normal
186, 64, thin
156, 43, thin
167, 100, fat
166, 78, fat
196, 71, thin
161, 40, thin
200, 82, normal
182, 106, fat
150, 57, fat
181, 74, normal
197, 83, normal
199, 67, thin
178, 56, thin
177, 114, fat
185, 43, thin
176, 73, overweight
178, 94, fat
177, 63, normal
183, 59, thin
193, 113, fat
199, 61, thin
177, 83, fat
170, 59, normal
162, 115, fat
181, 100, fat
189, 113, fat
181, 85, fat
196, 104, fat
194, 120, fat
176, 62, normal
162, 111, fat
184, 43, thin
158, 99, fat
170, 76, fat
171, 111, fat
187, 41, thin
151, 101, fat
152, 83, fat
151, 115, fat
190, 111, fat
171, 68, overweight
152, 102, fat
196, 119, fat
186, 46, thin
187, 76, normal
156, 51, normal
199, 104, fat
193, 105, fat
164, 40, thin
185, 104, fat
168, 111, fat
185, 56, thin
159, 55, normal
186, 74, normal
193, 80, normal
165, 89, fat
182, 116, fat
166, 40, thin
174, 70, overweight
158, 70, fat
199, 50, thin
155, 57, overweight
197, 46, thin
164, 42, thin
180, 47, thin
162, 102, fat
181, 77, overweight
171, 75, fat
191, 51, thin
178, 104, fat
184, 80, overweight
154, 52, normal
187, 49, thin
181, 87, fat
169, 55, normal
200, 61, thin
157, 48, normal
173, 63, normal
179, 67, normal
200, 41, thin
199, 88, normal
165, 64, overweight
189, 120, fat
168, 96, fat
174, 89, fat
191, 45, thin
163, 76, fat
175, 86, fat
179, 61, normal
156, 113, fat
186, 72, normal
157, 90, fat
191, 111, fat
175, 59, normal
177, 120, fat
197, 120, fat
163, 46, thin
180, 62, normal
156, 110, fat
188, 44, thin
192, 107, fat
200, 111, fat
174, 90, fat
169, 104, fat
150, 111, fat
188, 57, thin
180, 84, fat
161, 48, normal
200, 56, thin
150, 51, normal
154, 53, normal
179, 80, fat
157, 113, fat
157, 84, fat
162, 73, fat
183, 94, fat
154, 60, fat
159, 71, fat
166, 91, fat
174, 75, overweight
187, 62, thin
193, 106, fat
178, 101, fat
180, 118, fat
186, 54, thin
155, 95, fat
175, 100, fat
163, 95, fat
178, 72, normal
194, 84, normal
177, 84, fat
199, 94, overweight
158, 81, fat
188, 42, thin
195, 110, fat
181, 114, fat
167, 55, normal
164, 107, fat
195, 92, overweight
192, 100, fat
189, 51, thin
196, 107, fat
155, 87, fat
178, 78, overweight
176, 66, normal
183, 51, thin
170, 84, fat
187, 88, fat
151, 51, normal
182, 61, thin
187, 110, fat
158, 83, fat
198, 70, thin
172, 113, fat
200, 54, thin
169, 113, fat
158, 117, fat
174, 117, fat
168, 89, fat
151, 51, normal
175, 70, normal
154, 40, thin
173, 53, thin
175, 79, fat
163, 96, fat
177, 43, thin
156, 62, fat
155, 63, fat
195, 64, thin
152, 110, fat
171, 106, fat
169, 79, fat
172, 81, fat
186, 88, fat
199, 84, normal
180, 60, normal
158, 77, fat
166, 79, fat
164, 100, fat
162, 90, fat
156, 119, fat
172, 80, fat
181, 61, normal
174, 85, fat
186, 68, normal
182, 68, normal
166, 50, thin
198, 41, thin
165, 64, overweight
189, 91, fat
200, 50, thin
175, 101, fat
169, 65, normal
183, 60, thin
196, 63, thin
191, 90, overweight
192, 114, fat
153, 120, fat
156, 116, fat
152, 106, fat
154, 106, fat
174, 99, fat
182, 116, fat
173, 107, fat
198, 67, thin
165, 73, fat
151, 88, fat
197, 42, thin
198, 74, normal
156, 62, fat
166, 89, fat
158, 67, fat
200, 109, fat
159, 86, fat
182, 67, normal
181, 95, fat
163, 120, fat
187, 82, overweight
163, 112, fat
176, 59, normal
183, 42, thin
171, 41, thin
194, 111, fat
182, 58, thin
188, 83, overweight
155, 94, fat
155, 111, fat
176, 71, overweight
173, 74, overweight
197, 75, normal
169, 64, normal
191, 66, thin
167, 69, overweight
155, 107, fat
175, 64, normal
173, 50, thin
174, 42, thin
157, 103, fat
168, 52, thin
170, 77, fat
194, 48, thin
160, 104, fat
170, 71, overweight
155, 69, fat
196, 100, fat
177, 120, fat
191, 70, normal
156, 48, normal
155, 47, normal
178, 44, thin
164, 84, fat
154, 56, overweight
195, 68, thin
200, 100, fat
175, 49, thin
152, 55, overweight
172, 113, fat
165, 92, fat
193, 108, fat
158, 52, normal
192, 110, fat
187, 58, thin
177, 41, thin
188, 92, fat
153, 65, fat
152, 100, fat
196, 90, overweight
167, 60, normal
190, 72, normal
156, 60, overweight
163, 107, fat
192, 105, fat
199, 80, normal
165, 56, normal
186, 40, thin
151, 67, fat
181, 56, thin
161, 69, fat
153, 104, fat
155, 93, fat
173, 104, fat
199, 108, fat
168, 88, fat
168, 89, fat
188, 55, thin
198, 119, fat
154, 53, normal
166, 53, normal
178, 109, fat
199, 89, normal
200, 116, fat
155, 85, fat
161, 75, fat
162, 86, fat
171, 88, fat
156, 96, fat
167, 108, fat
181, 81, overweight
193, 70, normal
175, 72, overweight
199, 47, thin
154, 92, fat
191, 66, thin
176, 89, fat
191, 117, fat
188, 100, fat
191, 44, thin
152, 45, normal
188, 87, overweight
200, 94, overweight
186, 68, normal
159, 58, overweight
199, 70, thin
193, 74, normal
163, 119, fat
178, 72, normal
182, 87, fat
163, 91, fat
192, 75, normal
159, 83, fat
171, 54, thin
172, 82, fat
169, 113, fat
172, 69, overweight
172, 49, thin
163, 50, normal
169, 107, fat
153, 109, fat
158, 117, fat
179, 71, normal
166, 92, fat
162, 88, fat
194, 69, thin
154, 99, fat
165, 59, normal
180, 63, normal
182, 83, fat
158, 113, fat
179, 67, normal
163, 102, fat
185, 80, overweight
166, 91, fat
195, 105, fat
163, 107, fat
186, 110, fat
195, 112, fat
161, 92, fat
184, 60, thin
197, 102, fat
190, 68, normal
154, 65, fat
196, 58, thin
197, 42, thin
198, 117, fat
185, 82, overweight
172, 66, normal
190, 77, normal
186, 96, fat
171, 41, thin
195, 47, thin
200, 103, fat
170, 112, fat
196, 71, thin
165, 118, fat
184, 97, fat
162, 42, thin
157, 98, fat
199, 69, thin
184, 63, normal
156, 43, thin
159, 100, fat
197, 91, overweight
172, 86, fat
161, 78, fat
162, 113, fat
167, 47, thin
176, 102, fat
191, 97, fat
180, 88, fat
193, 87, overweight
171, 62, normal
192, 77, normal
165, 64, overweight
161, 106, fat
151, 42, thin
167, 108, fat
200, 84, normal
161, 74, fat
158, 82, fat
198, 67, thin
179, 105, fat
158, 110, fat
173, 95, fat
171, 102, fat
180, 87, fat
180, 57, thin
157, 82, fat
166, 93, fat
171, 43, thin
183, 82, overweight
188, 58, thin
167, 73, fat
169, 73, fat
182, 74, normal
166, 116, fat
200, 74, normal
156, 44, thin
155, 114, fat
183, 84, fat
173, 106, fat
176, 113, fat
152, 108, fat
161, 80, fat
187, 108, fat
156, 48, normal
197, 120, fat
178, 66, normal
177, 66, normal
193, 69, normal
161, 50, normal
165, 77, fat
193, 51, thin
196, 61, thin
165, 85, fat
190, 115, fat
151, 55, overweight
160, 100, fat
154, 99, fat
194, 82, normal
171, 108, fat
163, 118, fat
192, 75, normal
187, 74, normal
181, 96, fat
182, 112, fat
151, 112, fat
198, 67, thin
167, 119, fat
154, 45, normal
165, 104, fat
152, 84, fat
155, 104, fat
175, 110, fat
159, 89, fat
163, 113, fat
195, 48, thin
175, 82, fat
188, 88, overweight
181, 79, overweight
173, 116, fat
177, 115, fat
188, 68, normal
164, 45, thin
200, 96, overweight
157, 71, fat
183, 98, fat
174, 47, thin
170, 59, normal
150, 69, fat
199, 45, thin
198, 70, thin
166, 44, thin
169, 44, thin
150, 66, fat
177, 117, fat
182, 118, fat
195, 117, fat
197, 71, thin
151, 66, fat
186, 47, thin
165, 45, thin
188, 100, fat
165, 113, fat
196, 102, fat
187, 115, fat
177, 118, fat
196, 99, fat
199, 89, normal
174, 72, overweight
167, 50, thin
168, 73, fat
151, 59, fat
156, 80, fat
193, 67, thin
157, 112, fat
156, 117, fat
195, 77, normal
171, 52, thin
198, 115, fat
190, 84, overweight
195, 62, thin
170, 108, fat
196, 107, fat
164, 72, fat
167, 111, fat
200, 105, fat
192, 72, normal
168, 45, thin
176, 75, overweight
154, 88, fat
163, 59, normal
192, 66, thin
189, 52, thin
159, 66, fat
177, 59, normal
168, 103, fat
165, 81, fat
189, 98, fat
170, 77, fat
192, 107, fat
177, 86, fat
189, 75, normal
170, 85, fat
180, 47, thin
183, 61, thin
190, 115, fat
194, 120, fat
186, 72, normal
162, 79, fat
159, 43, thin
176, 61, normal
156, 40, thin
200, 82, normal
184, 120, fat
179, 86, fat
155, 55, normal
173, 40, thin
199, 82, normal
181, 90, fat
171, 90, fat
180, 44, thin
177, 114, fat
170, 84, fat
161, 74, fat
186, 74, normal
181, 57, thin
177, 116, fat
174, 59, normal
153, 71, fat
187, 70, normal
184, 117, fat
172, 86, fat
199, 115, fat
161, 51, normal
175, 80, fat
154, 79, fat
186, 84, overweight
199, 115, fat
173, 116, fat
159, 44, thin
176, 62, normal
173, 109, fat
198, 97, overweight
162, 99, fat
193, 105, fat
167, 106, fat
174, 45, thin
198, 96, overweight
158, 86, fat
170, 78, fat
192, 75, normal
200, 46, thin
184, 70, normal
161, 70, fat
189, 52, thin
166, 52, normal
175, 91, fat
172, 86, fat
156, 44, thin
200, 56, thin
176, 72, overweight
168, 60, normal
196, 110, fat
178, 88, fat
161, 110, fat
152, 98, fat
170, 48, thin
180, 60, normal
165, 77, fat
191, 90, overweight
193, 54, thin
156, 74, fat
182, 115, fat
164, 111, fat
174, 120, fat
171, 107, fat
163, 119, fat
154, 49, normal
153, 113, fat
200, 58, thin
165, 98, fat
195, 86, normal
170, 119, fat
152, 82, fat
181, 62, normal
187, 59, thin
173, 49, thin
199, 47, thin
198, 45, thin
160, 98, fat
153, 95, fat
193, 51, thin
191, 78, normal
158, 74, fat
196, 115, fat
192, 87, overweight
168, 78, fat
171, 41, thin
150, 104, fat
179, 111, fat
159, 120, fat
165, 78, fat
185, 102, fat
166, 69, fat
184, 67, normal
174, 85, fat
162, 99, fat
188, 117, fat
171, 81, fat
150, 44, normal
193, 53, thin
154, 58, overweight
173, 104, fat
184, 57, thin
168, 93, fat
173, 63, normal
157, 88, fat
193, 40, thin
193, 82, normal
164, 46, thin
152, 55, overweight
164, 108, fat
173, 64, normal
156, 56, overweight
164, 113, fat
153, 94, fat
152, 58, fat
190, 115, fat
174, 95, fat
165, 113, fat
163, 64, overweight
161, 42, thin
196, 92, overweight
197, 49, thin
199, 50, thin
200, 107, fat
171, 75, fat
174, 98, fat
196, 85, normal
172, 89, fat
179, 93, fat
195, 68, thin
174, 98, fat
171, 50, thin
199, 95, overweight
186, 95, fat
181, 120, fat
156, 47, normal
187, 46, thin
185, 87, fat
154, 64, fat
178, 90, fat
175, 58, normal
168, 85, fat
158, 64, fat
158, 119, fat
150, 74, fat
190, 94, fat
198, 69, thin
157, 80, fat
177, 41, thin
157, 111, fat
159, 53, normal
199, 87, normal
172, 42, thin
189, 71, normal
195, 86, normal
186, 93, fat
182, 97, fat
187, 73, normal
200, 75, normal
159, 101, fat
198, 108, fat
154, 78, fat
183, 45, thin
193, 65, thin
194, 80, normal
195, 82, normal
182, 77, overweight
160, 103, fat
196, 101, fat
187, 100, fat
179, 106, fat
194, 96, fat
155, 92, fat
196, 93, overweight
192, 61, thin
169, 97, fat
186, 61, thin
166, 71, fat
156, 84, fat
187, 119, fat
173, 46, thin
170, 61, normal
168, 109, fat
192, 107, fat
189, 103, fat
177, 110, fat
192, 113, fat
173, 79, fat
168, 93, fat
196, 87, normal
182, 64, normal
199, 77, normal
199, 112, fat
186, 63, thin
153, 107, fat
173, 48, thin
189, 67, normal
170, 85, fat
153, 86, fat
173, 81, fat
184, 100, fat
192, 110, fat
168, 53, normal
198, 112, fat
154, 64, fat
195, 94, overweight
151, 116, fat
166, 73, fat
168, 40, thin
171, 59, normal
155, 101, fat
178, 106, fat
185, 108, fat
177, 67, normal
150, 91, fat
168, 59, normal
179, 55, thin
155, 56, overweight
173, 114, fat
183, 117, fat
198, 42, thin
191, 85, overweight
174, 80, fat
178, 75, overweight
190, 80, normal
160, 54, normal
156, 52, normal
155, 102, fat
178, 95, fat
152, 118, fat
192, 109, fat
189, 51, thin
180, 86, fat
200, 76, normal
150, 99, fat
155, 99, fat
187, 77, normal
167, 108, fat
165, 86, fat
153, 68, fat
157, 117, fat
175, 114, fat
197, 118, fat
185, 71, normal
153, 50, normal
178, 51, thin
155, 75, fat
183, 98, fat
154, 40, thin
152, 102, fat
194, 73, normal
200, 47, thin
155, 53, normal
155, 114, fat
157, 86, fat
174, 100, fat
176, 83, fat
151, 63, fat
198, 85, normal
153, 113, fat
198, 41, thin
168, 54, normal
165, 84, fat
156, 76, fat
195, 43, thin
186, 71, normal
200, 119, fat
161, 82, fat
156, 40, thin
153, 80, fat
168, 49, thin
154, 68, fat
195, 101, fat
159, 119, fat
167, 112, fat
161, 105, fat
193, 96, fat
194, 50, thin
166, 67, overweight
171, 85, fat
183, 49, thin
153, 53, normal
174, 92, fat
181, 88, fat
195, 111, fat
185, 42, thin
185, 97, fat
173, 79, fat
156, 118, fat
179, 106, fat
157, 62, fat
180, 58, thin
164, 46, thin
150, 73, fat
191, 91, fat
154, 100, fat
169, 119, fat
190, 117, fat
154, 45, normal
168, 55, normal
158, 77, fat
165, 100, fat
173, 117, fat
194, 92, overweight
163, 88, fat
158, 60, overweight
199, 80, normal
196, 52, thin
161, 92, fat
191, 89, overweight
189, 58, thin
193, 106, fat
197, 65, thin
175, 58, normal
168, 108, fat
178, 64, normal
154, 98, fat
198, 80, normal
198, 87, normal
178, 72, normal
167, 112, fat
150, 60, fat
195, 76, normal
166, 119, fat
156, 44, thin
180, 98, fat
185, 103, fat
172, 104, fat
191, 47, thin
167, 72, fat
193, 44, thin
162, 58, normal
199, 55, thin
166, 58, normal
181, 97, fat
172, 120, fat
169, 100, fat
199, 93, overweight
197, 45, thin
182, 46, thin
183, 114, fat
152, 118, fat
170, 74, fat
